The smallest unit of an element that retains the unique properties of that element.,Atom
The center of the atom.,Nucleus
Basic particles that carry no charge.,Neutrons
Basic particles that carry a negative charge.,Electrons
Basic particles that carry a positive charge.,Protons
Anything that occupies space and has mass.,Matter
Force of gravity on mass.,Weight
Chart of all elements arranged by atomic number.,Periodic Table
Equals the number of protons in an atom.,Atomic Number
Atoms that have the same number of protons and electrons\ but a different number of neutrons.,Isotopes
Combined mass of protons and neutrons.,Atomic Mass
Units of atomic mass measurement equal to 1/12 the mass of one carbon atom.,amu